url,content_type_ext,content_ffb,wayback_date,crawl_date
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincuser/tgbottle.tap,.tap,13000000,20020308180724,2002-03-08T18:07:24Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincuser/target.tap,.tap,13000000,20020308181131,2002-03-08T18:11:31Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/zx-comp/spectres.tap,.tap,13000000,20020317005227,2002-03-17T00:52:27Z
http://www.ysrnry.co.uk:80/ys3/issue5/tape/smash03.tap,.tap,13000000,20020325055049,2002-03-25T05:50:49Z
http://www.zenn.demon.co.uk:80/com/reviews/games/Cj.z80,.z80,00440039,20020325151210,2002-03-25T15:12:10Z
http://www.thewebshite.fslife.co.uk:80/FEUD.SNA,.sna,fe2b2d31,20020404223028,2002-04-04T23:30:28Z
http://www.bigfatpanda.fsnet.co.uk:80/code/poacher.sna,.sna,3f2b2ddb,20020504212538,2002-05-04T22:25:38Z
http://www.z88forever.org.uk:80/zxplus3e/files/msdos.tap,.tap,13000000,20020507051652,2002-05-07T06:16:52Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincuser/select.tap,.tap,13000000,20020510214140,2002-05-10T22:41:40Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincuser/target.tap,.tap,13000000,20020511161109,2002-05-11T17:11:09Z
http://www.thewebshite5.fslife.co.uk:80/daley-d2.sna,.sna,3f00409b,20020603070429,2002-06-03T08:04:29Z
http://www.autolaunch.freeserve.co.uk:80/buggy.sna,.sna,3f00009b,20020608075925,2002-06-08T08:59:25Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/awari.tap,.tap,13000000,20020720000104,2002-07-20T01:01:04Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincuser/laser.tap,.tap,13000000,20020722131002,2002-07-22T14:10:02Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincuser/target.tap,.tap,13000000,20020724113444,2002-07-24T12:34:44Z
http://www.bigfatpanda.fsnet.co.uk:80/code/kemshu.sna,.sna,3f58279b,20020803113235,2002-08-03T12:32:35Z
http://www.autolaunch.freeserve.co.uk:80/boat_run.sna,.sna,3f20589b,20020806015421,2002-08-06T02:54:21Z
http://www.zenn.demon.co.uk:80/com/reviews/games/Cj.z80,.z80,00440039,20020927120927,2002-09-27T13:09:27Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/monsterm.z80,.z80,df036e04,20020929171436,2002-09-29T18:14:36Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/slalom.tap,.tap,13000000,20020929172341,2002-09-29T18:23:41Z
http://www.bigfatpanda.fsnet.co.uk:80/code/poacher.sna,.sna,3f2b2ddb,20021003122326,2002-10-03T13:23:26Z
http://www.autolaunch.freeserve.co.uk:80/boat_run.sna,.sna,3f20589b,20021012155242,2002-10-12T16:52:42Z
http://www.zenn.demon.co.uk:80/com/reviews/games/Lostcave.z80,.z80,00500000,20021127053516,2002-11-27T05:35:16Z
