year	applet	b	basefont	blink	dir	div	em	embed	emph	font	form	frame	frameset	i	iframe	link	listing	map	marquee	object	script	span	strong	style
1976	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1980	0.0	19.3181818182	0.0	0.0	0.0	0.0	1.13636363636	0.0	0.0	3.40909090909	0.0	0.0	0.0	9.09090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0
1994	0.0	97.8260869565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6231884058	0.0	0.0	0.0	95.652173913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44927536232	0.0
1995	0.0	27.6651982379	0.0	0.704845814978	0.0881057268722	0.176211453744	37.9735682819	0.0	0.0	48.281938326	0.79295154185	0.0881057268722	0.0881057268722	23.5242290749	0.0	0.264317180617	0.0	0.0	0.0	0.0	0.0881057268722	0.0	28.986784141	0.0
1996	0.37514893617	50.2747234043	1.58229787234	0.978156028369	0.131177304965	1.67217021277	9.37441134752	0.182014184397	0.00408510638298	28.9820141844	8.38036879433	1.15245390071	1.15268085106	33.5757163121	0.00249645390071	4.66042553191	0.0746666666667	4.23988652482	0.247602836879	0.0719432624113	1.13838297872	0.069219858156	12.9363971631	0.0994042553191
1997	0.512882501037	54.6084503622	2.44065745959	1.14543510993	0.323675612123	2.84211399984	8.38760265959	0.196262690463	0.00209817256597	41.7965630448	10.5676410914	1.72636896012	1.72675888599	36.5740072812	0.00256237003631	4.46788208419	0.0411650316703	6.43004479134	0.198268023534	0.0676242874801	2.22203901895	0.0316025637812	13.5310034705	0.161020818514
1998	0.890580177963	52.1732922189	1.64077676671	0.951743619045	0.464572313514	7.78259814652	10.305342739	0.435946923625	0.00229362904058	56.3896345057	8.96105125564	3.02974904325	3.03028872067	30.3782396667	0.0776460889915	4.41406660204	0.035348871096	6.8624931163	0.452159732824	0.146207608057	5.21841082539	0.315418966198	15.5803297474	0.814553121236
1999	0.625542628961	52.2552584211	1.06885863237	0.445331311037	0.378818777263	9.54555994141	18.7455056979	0.252880505767	0.000967052377845	56.5427552681	37.5220382748	1.62261054092	1.62309037606	38.1431516562	1.25253952753	4.9133199949	0.0176653155739	10.7108432926	0.3413621073	0.103238377894	8.15700560425	0.671488690027	16.78547508	2.18059238085
2000	0.538525357233	68.9492401821	0.814503004564	1.62259615531	0.213421770114	14.9171797336	6.11142703386	0.334039792304	0.000422279021327	72.2210165437	59.0134029165	1.8612521481	1.86260441734	38.1306337483	9.07883785787	10.0655940893	0.00534561304455	30.8568214648	0.239947239043	0.302468943392	18.977111818	3.87430994299	12.1348906626	5.75362001132
2001	1.06314088581	72.8922364753	1.26997895133	0.690957015461	0.296081127303	37.5848740481	4.17830435351	1.5775168854	0.000592460793291	80.1687937728	42.4338132425	3.06167118294	3.06683097785	22.1829201001	10.8471661515	22.6139207081	0.00326545922952	14.939902239	0.563484074492	1.5208499341	48.474389605	13.2625426297	11.6258504525	21.6438607989
2002	0.93922832772	74.4919452177	1.12733205742	0.18381769915	0.207178821451	45.7510368472	3.32295158983	2.37714758892	0.000847054984945	75.9734466421	48.6734126381	2.42033273042	2.42847731636	21.4584123523	6.22838064156	35.3607265426	0.0015847034006	16.4390882196	0.542070074253	2.2898321234	59.7635505224	24.9091587104	11.0007921938	29.0433825696
2003	0.854398569141	73.8586756145	1.05049880397	0.141257615483	0.13854722725	53.2836221699	3.63682993924	2.93028142433	0.000659979228487	70.8206294481	54.2288172129	1.86790054308	1.87574920971	18.3468342696	6.61834523855	53.0322399424	0.000879359510565	11.0619522931	0.643085108384	2.85859003165	68.2437341161	34.0588280115	16.8596865899	29.656249972
2004	0.671140955951	68.9020774389	0.704101191889	0.114542624399	0.0711300876745	59.4818375357	3.7866481947	4.01173241958	0.00035331819022	65.7301294468	65.7861458702	1.22170154956	1.22622715527	14.6041752122	6.63105560444	67.4932129751	0.000413190829351	9.8877390453	0.719230520462	2.71386451872	73.9238849512	41.7119104533	29.6417722882	37.2976459265
2005	0.403072020968	72.878631884	0.525320673271	0.397041950903	0.0472071236995	67.7427219188	6.14884859835	2.79488934929	0.000195035870199	60.2266917117	71.9691973518	1.22721762043	1.2294542006	15.2622048519	8.70684155395	73.6322555523	0.000255404115737	10.2011152058	0.756009269405	3.96843157848	76.2759262459	49.6711570693	28.7879593364	36.5412620779
2006	0.288949252027	63.0049431745	0.333879302532	0.0749458593828	0.0405643228081	79.3187939129	6.55139726728	4.27001471115	0.000228433189398	46.3177399826	69.5792664962	0.771385057917	0.774027910238	15.7896225862	7.59169762227	79.7213551142	0.000188886669138	6.75502073905	1.14863752689	4.49843697322	80.1450279131	60.8929102658	33.2036559572	36.3518331938
2007	0.144029256141	54.7892250269	0.236137270458	0.0779072380198	0.0247603060317	84.021954627	11.2169743298	4.1818765725	0.000241811525026	40.8885752153	72.2742991039	0.694992337922	0.695797949864	11.3952388948	10.2219732137	77.085784225	0.000138178014301	8.65898582566	0.802544304189	4.55066345726	84.8409604534	66.1575234737	42.2658500727	42.9457443302
2008	0.110682315765	51.0824362058	0.163788534027	0.099138570095	0.0175467116507	90.9006625456	13.3635843225	5.06070140823	0.000181990724046	35.0119799194	73.3569765394	0.59643933005	0.596818120166	9.61816261191	11.4712073625	87.8490545553	4.63745099817e-05	8.10079059382	1.08177975315	5.61066061912	86.2726875355	71.2193201197	47.610149837	39.3891003963
